연번,시도,시군구,주소,"운영시간
(A: 외래진료,
B: 외래진료 및 입원)"
1,서울,종로구,종로구민회관 후문 (지봉로5길 7-5),(평일)10:00~17:00 (토)09:00~13:00 * 평일 소독시간 12-14시
2,서울,중구,서울역 광장 (한강대로 405),(평일)09:00~17:00 (토&일&공휴일)9:00~13:00 * 평일 소독시간 12:30-13:30
3,서울,용산구,용산역 전면광장 (한강대로23길 55),(평일)09:00~17:00 (접수마감 16:30) (토&일&공휴일)09:00~13:00 (접수마감 12:30) * 평일 소독시간 12-13시
4,서울,성동구,성동구청(농구장) (고산자로 270),(평일)09:00~17:00 (토)10:00~14:00 * 일요일 공휴일 미운영
5,서울,광진구,중곡보건지소 (광진구 긴고랑로 110),(평일)09:00~17:00 (주말)12:00~16:00 * 평일 소독시간 13-14시
6,서울,동대문구,청량리역 광장,(평일)09:00~17:00 (토&일&공휴일)12:00~16:00
7,서울,중랑구,면목역 광장(3번출구),(평일)09:00~17:00 (토&일&공휴일)09:00~13:00 * 평일 소독시간 12:30-13:30
8,서울,성북구,성북구청 바람마당 (보문로 168),(평일)10:00~17:00 (토&일&공휴일)10:00~15:00 * 평일 소독시간 13-14시
9,서울,강북구,강북구민운동장 (오현로31길 51),(평일)09:00~17:00 (토&일&공휴일)09:00~13:00 * 평일 소독시간 12-13시
10,서울,도봉구,도봉구민 회관 (도봉로 552),(평일)10:00~17:00 (주말)10:00~13:00 * 평일 소독시간 12-13시
11,서울,노원구,노원구청 주차장 (노해로 437),(평일)09:00~17:00 (토&일&공휴일) 09:00~13:00 * 평일 소독시간 12-13시
12,서울,은평구,불광천 (증산로 414),(평일)09:00~17:00 (토)09:00~13:00 * 평일 소독시간 12-14시
13,서울,서대문구,신촌기차역 공영주차장 (대현동 121-7),(평일)10:00~17:00 (토&일&공휴일)12:00~16:00 * 평일 소독시간 13-14시
14,서울,마포구,서강대역사 광장 (서강로 지하 118),(평일)09:00~17:00 (토)09:00~13:00 * 평일 소독시간 13-14시
15,서울,양천구,양천구의회 주차장 (목동서로 337),(평일)09:00~17:00 (토&공휴일)9:00~13:00 * 평일 소독시간 12-13시
16,서울,강서구,"마곡8구역 공영주차장 (마곡동 728-43, 워킹스루)",(평일)10:00~17:00 (주말)10:00~14:00 * 평일 소독시간 13-14시
17,서울,구로구,구로역 광장 (구로동),(평일)09:00~17:00 (토&공휴일)09:00~13:00 * 평일 소독시간 12-13시
18,서울,금천구,필승아파트 단지 내 (시흥대로63길 54),(평일)10:00~16:00 (토&공휴일)09:00~13:00 * 소독시간 12-13시
19,서울,영등포구,도림동 배드민턴 체육관 (도신로15길 5),(평일)09:00~17:00 (토&공휴일)09:00~13:00 * 평일 소독시간 12-13시 * 일요일 미운영
